level,word,role_default,bisindo_gesture,context_type,sentence,spok_breakdown,bisindo_sequence
2,Kiko,Subjek (S),Tutor kelinci pintar di platform Bisara.,Formal/Sekolah,Kiko membantu teman tuli.,Kiko (S) - membantu (P) - teman tuli (O),KIKO - BANTU - TEMAN - TULI
2,Kiko,Subjek (S),Tutor kelinci pintar di platform Bisara.,Santai/Rumah,Kiko menggambar wortel lucu.,Kiko (S) - menggambar (P) - wortel lucu (O),KIKO - GAMBAR - WORTEL - LUCU
2,Kiko,Subjek (S),Tutor kelinci pintar di platform Bisara.,Sosial/Permohonan,Berikan boneka itu kepada Kiko.,Berikan (P) - boneka (O) - kepada Kiko (K),KASIH - BONEKA - KIKO
2,Belajar,Predikat (P),"Buka telapak tangan kiri mendatar di depan dada, lalu ketukkan ujung jari tangan kanan berulang kali di atas telapak tangan kiri.",Formal/Sekolah,Kami belajar bahasa isyarat di kelas.,Kami (S) - belajar (P) - bahasa isyarat (O) - di kelas (K),KAMI - BELAJAR - BAHASA - ISYARAT - DI - KELAS
2,Belajar,Predikat (P),"Buka telapak tangan kiri mendatar di depan dada, lalu ketukkan ujung jari tangan kanan berulang kali di atas telapak tangan kiri.",Santai/Rumah,Saya belajar memasak kue di dapur.,Saya (S) - belajar (P) - memasak kue (O) - di dapur (K),SAYA - BELAJAR - MASAK - KUE - DI - DAPUR
2,Belajar,Predikat (P),"Buka telapak tangan kiri mendatar di depan dada, lalu ketukkan ujung jari tangan kanan berulang kali di atas telapak tangan kiri.",Sosial/Permohonan,Tolong dampingi adik belajar.,Tolong (L) - dampingi (P) - adik (O) - belajar (P),TOLONG - TEMANI - ADIK - BELAJAR
2,Minum,Predikat (P),"Bentuk genggaman tangan kanan seperti memegang gelas, lalu gerakkan ibu jari mengarah ke mulut seolah menenggak cairan.",Formal/Sekolah,Guru minum teh hangat di kantor.,Guru (S) - minum (P) - teh hangat (O) - di kantor (K),GURU - MINUM - TEH - HANGAT - DI - KANTOR
2,Minum,Predikat (P),"Bentuk genggaman tangan kanan seperti memegang gelas, lalu gerakkan ibu jari mengarah ke mulut seolah menenggak cairan.",Santai/Rumah,Ayah minum susu putih.,Ayah (S) - minum (P) - susu putih (O),AYAH - MINUM - SUSU - PUTIH
2,Minum,Predikat (P),"Bentuk genggaman tangan kanan seperti memegang gelas, lalu gerakkan ibu jari mengarah ke mulut seolah menenggak cairan.",Sosial/Permohonan,Bolehkah saya meminta minum?,Bolehkah saya (S) - meminta (P) - minum (O),MINTA - MINUM
2,Tolong,Lainnya (L),Katupkan kedua telapak tangan di depan dada seakan memohon bantuan dengan santun.,Formal/Sekolah,Tolong hapus papan tulis itu.,Tolong (L) - hapus (P) - papan tulis (O) - itu (L),TOLONG - BERSIH - PAPAN - TULIS - ITU
2,Tolong,Lainnya (L),Katupkan kedua telapak tangan di depan dada seakan memohon bantuan dengan santun.,Santai/Rumah,"Ibu, tolong ambilkan piring bersih.",Ibu (S) - tolong (L) - ambilkan (P) - piring bersih (O),IBU - TOLONG - AMBIL - PIRING - BERSIH
2,Tolong,Lainnya (L),Katupkan kedua telapak tangan di depan dada seakan memohon bantuan dengan santun.,Sosial/Permohonan,Tolong tunjukkan jalan ke stasiun.,Tolong (L) - tunjukkan (P) - jalan (O) - ke stasiun (K),TOLONG - TUNJUK - JALAN - KE - STASIUN
3,Ayah,Subjek (S),Letakkan jari telunjuk mendatar di atas bibir kanan melambangkan kumis.,Formal/Sekolah,Ayah menghadiri rapat wali murid.,Ayah (S) - menghadiri (P) - rapat wali murid (O),AYAH - DATANG - RAPAT - SEKOLAH
3,Ayah,Subjek (S),Letakkan jari telunjuk mendatar di atas bibir kanan melambangkan kumis.,Santai/Rumah,Ayah memotong rumput halaman.,Ayah (S) - memotong (P) - rumput (O) - halaman (K),AYAH - POTONG - RUMPUT - HALAMAN
3,Ayah,Subjek (S),Letakkan jari telunjuk mendatar di atas bibir kanan melambangkan kumis.,Sosial/Permohonan,Adik memeluk Ayah erat-erat.,Adik (S) - memeluk (P) - Ayah (O) - erat-erat (K),ADIK - PELUK - AYAH - ERAT
3,Rumah,Keterangan (K),Satukan ujung-ujung jari kedua tangan di atas membentuk atap segitiga menyiku.,Formal/Sekolah,Guru berkunjung ke rumah Budi.,Guru (S) - berkunjung (P) - ke rumah Budi (K),GURU - MAIN - KE - RUMAH - BUDI
3,Rumah,Keterangan (K),Satukan ujung-ujung jari kedua tangan di atas membentuk atap segitiga menyiku.,Santai/Rumah,Kami mengecat dinding rumah.,Kami (S) - mengecat (P) - dinding rumah (O),KAMI - CAT - TEMBOK - RUMAH
3,Rumah,Keterangan (K),Satukan ujung-ujung jari kedua tangan di atas membentuk atap segitiga menyiku.,Sosial/Permohonan,Tolong antarkan barang ini ke rumah.,Tolong (L) - antarkan (P) - barang ini (O) - ke rumah (K),TOLONG - ANTAR - BARANG - INI - KE - RUMAH
3,Kopi,Objek (O),Tangan memegang cangkir lalu gerakkan memutar di atas telapak tangan kiri seolah mengaduk.,Formal/Sekolah,Kepala sekolah meminum kopi hitam.,Kepala sekolah (S) - meminum (P) - kopi hitam (O),KEPALA - SEKOLAH - MINUM - KOPI - HITAM
3,Kopi,Objek (O),Tangan memegang cangkir lalu gerakkan memutar di atas telapak tangan kiri seolah mengaduk.,Santai/Rumah,Kakak membuat segelas kopi manis.,Kakak (S) - membuat (P) - segelas kopi manis (O),KAKAK - BUAT - GELAS - KOPI - MANIS
3,Kopi,Objek (O),Tangan memegang cangkir lalu gerakkan memutar di atas telapak tangan kiri seolah mengaduk.,Sosial/Permohonan,Tolong belikan bubuk kopi instan.,Tolong (L) - belikan (P) - bubuk kopi instan (O),TOLONG - BELI - KOPI - BUBUK
3,Membaca,Predikat (P),Dua jari kanan menunjuk mata lalu menyapu telapak tangan kiri yang terbuka.,Formal/Sekolah,Siswa membaca buku modul perpustakaan.,Siswa (S) - membaca (P) - buku modul (O) - perpustakaan (K),SISWA - BACA - BUKU - PERPUSTAKAAN
3,Membaca,Predikat (P),Dua jari kanan menunjuk mata lalu menyapu telapak tangan kiri yang terbuka.,Santai/Rumah,Ayah membaca koran pagi hari.,Ayah (S) - membaca (P) - koran (O) - pagi hari (K),AYAH - BACA - KORAN - PAGI
3,Membaca,Predikat (P),Dua jari kanan menunjuk mata lalu menyapu telapak tangan kiri yang terbuka.,Sosial/Permohonan,Saya senang membaca komik petualangan.,Saya (S) - senang membaca (P) - komik petualangan (O),SAYA - SUKA - BACA - KOMIK - PETUALANGAN
4,Ibu,Subjek (S),Sentuhkan jempol kanan di dagu lalu geser ke pipi kanan.,Formal/Sekolah,Ibu berkonsultasi dengan wali kelas.,Ibu (S) - berkonsultasi (P) - dengan wali kelas (K),IBU - BICARA - GURU - KELAS
4,Ibu,Subjek (S),Sentuhkan jempol kanan di dagu lalu geser ke pipi kanan.,Santai/Rumah,Ibu memasak sayur bayam hangat.,Ibu (S) - memasak (P) - sayur bayam hangat (O),IBU - MASAK - SAYUR - BAYAM - HANGAT
4,Ibu,Subjek (S),Sentuhkan jempol kanan di dagu lalu geser ke pipi kanan.,Sosial/Permohonan,Tolong bantu Ibu mencuci piring kotor.,Tolong (L) - bantu Ibu (O) - mencuci (P) - piring kotor (O),TOLONG - BANTU - IBU - CUCI - PIRING - KOTOR
4,Roti,Objek (O),Sisi luar tangan kanan menyayat kepalan tangan kiri berulang.,Formal/Sekolah,Anak-anak memakan roti cokelat saat istirahat.,Anak-anak (S) - memakan (P) - roti cokelat (O) - saat istirahat (K),ANAK - MAKAN - ROTI - COKELAT - ISTIRAHAT
4,Roti,Objek (O),Sisi luar tangan kanan menyayat kepalan tangan kiri berulang.,Santai/Rumah,Kakak memanggang roti tawar di oven.,Kakak (S) - memanggang (P) - roti tawar (O) - di oven (K),KAKAK - PANGGANG - ROTI - TAWAR - DI - OVEN
4,Roti,Objek (O),Sisi luar tangan kanan menyayat kepalan tangan kiri berulang.,Sosial/Permohonan,Tolong oleskan selai di atas roti bakar.,Tolong (L) - oleskan (P) - selai (O) - di atas roti bakar (K),TOLONG - OLES - SELAI - KE - ROTI - BAKAR
4,Kamus,Objek (O),Buka telapak tangan seperti buku lalu eja huruf A ke Z.,Formal/Sekolah,Siswa mencari arti kata di kamus.,Siswa (S) - mencari (P) - arti kata (O) - di kamus (K),SISWA - CARI - KATA - DI - KAMUS
4,Kamus,Objek (O),Buka telapak tangan seperti buku lalu eja huruf A ke Z.,Santai/Rumah,Kamus bahasa Inggris itu tebal sekali.,Kamus bahasa Inggris (S) - tebal (P) - sekali (L),KAMUS - INGGRIS - TEBAL - SEKALI
4,Kamus,Objek (O),Buka telapak tangan seperti buku lalu eja huruf A ke Z.,Sosial/Permohonan,Tolong pinjamkan saya kamus isyarat SIBI.,Tolong (L) - pinjamkan (P) - saya (O) - kamus isyarat SIBI (O),TOLONG - PINJAM - SAYA - KAMUS - S-I-B-I
4,Pergi,Predikat (P),Ayunkan telapak tangan kanan menghadap luar ke depan menjauh.,Formal/Sekolah,Siswa pergi karyawisata ke museum.,Siswa (S) - pergi (P) - karyawisata (L) - ke museum (K),SISWA - PERGI - WISATA - KE - MUSEUM
4,Pergi,Predikat (P),Ayunkan telapak tangan kanan menghadap luar ke depan menjauh.,Santai/Rumah,Ibu pergi berbelanja sayur ke pasar.,Ibu (S) - pergi (P) - berbelanja sayur (L) - ke pasar (K),IBU - PERGI - BELI - SAYUR - KE - PASAR
4,Pergi,Predikat (P),Ayunkan telapak tangan kanan menghadap luar ke depan menjauh.,Sosial/Permohonan,Jangan pergi terlalu malam hari.,Jangan pergi (P) - terlalu malam (K),JANGAN - PERGI - MALAM
5,Kakak,Subjek (S),Posisikan telapak tangan kanan menghadap bawah di dekat pelipis lalu angkat sedikit.,Formal/Sekolah,Kakak mendaftar kuliah jurusan hukum.,Kakak (S) - mendaftar (P) - kuliah hukum (O),KAKAK - DAFTAR - KULIAH - HUKUM
5,Kakak,Subjek (S),Posisikan telapak tangan kanan menghadap bawah di dekat pelipis lalu angkat sedikit.,Santai/Rumah,Kakak membersihkan jendela kamar.,Kakak (S) - membersihkan (P) - jendela kamar (O),KAKAK - BERSIH - JENDELA - KAMAR
5,Kakak,Subjek (S),Posisikan telapak tangan kanan menghadap bawah di dekat pelipis lalu angkat sedikit.,Sosial/Permohonan,Tolong jemput Kakak di stasiun kereta.,Tolong (L) - jemput (P) - Kakak (O) - di stasiun kereta (K),TOLONG - JEMPUT - KAKAK - DI - STASIUN - KERETA
5,Menulis,Predikat (P),Goreskan telunjuk-jempol kanan seperti memegang pena di atas telapak tangan kiri.,Formal/Sekolah,Siswa menulis rangkuman materi di buku tulis.,Siswa (S) - menulis (P) - rangkuman materi (O) - di buku tulis (K),SISWA - TULIS - RANGKUMAN - DI - BUKU
5,Menulis,Predikat (P),Goreskan telunjuk-jempol kanan seperti memegang pena di atas telapak tangan kiri.,Santai/Rumah,Kakak menulis diary rahasia.,Kakak (S) - menulis (P) - diary rahasia (O),KAKAK - TULIS - BUKU - RAHASIA
5,Menulis,Predikat (P),Goreskan telunjuk-jempol kanan seperti memegang pena di atas telapak tangan kiri.,Sosial/Permohonan,Tolong menulis nama lengkap Anda di sini.,Tolong (L) - menulis (P) - nama lengkap (O) - di sini (K),TOLONG - TULIS - NAMA - LENGKAP - DI - SINI
5,Surat,Objek (O),Sentuhkan jempol kanan ke bibir lalu tempel ke telapak kiri.,Formal/Sekolah,Guru mengirimkan surat undangan resmi.,Guru (S) - mengirimkan (P) - surat undangan resmi (O),GURU - KIRIM - SURAT - UNDANGAN - RESMI
5,Surat,Objek (O),Sentuhkan jempol kanan ke bibir lalu tempel ke telapak kiri.,Santai/Rumah,Kakak menerima surat cinta.,Kakak (S) - menerima (P) - surat cinta (O),KAKAK - TERIMA - SURAT - CINTA
5,Surat,Objek (O),Sentuhkan jempol kanan ke bibir lalu tempel ke telapak kiri.,Sosial/Permohonan,Tolong poskan surat kilat ini.,Tolong (L) - poskan (P) - surat kilat ini (O),TOLONG - KIRIM - SURAT - CEPAT - INI
5,Kantor,Keterangan (K),Gambarkan atap rumah lalu ketuk dada kiri.,Formal/Sekolah,Ayah bekerja di kantor pemerintahan.,Ayah (S) - bekerja (P) - di kantor pemerintahan (K),AYAH - KERJA - DI - KANTOR - KOTA
5,Kantor,Keterangan (K),Gambarkan atap rumah lalu ketuk dada kiri.,Santai/Rumah,Gedung kantor itu sangat tinggi.,Gedung kantor (S) - tinggi (P),GEDUNG - KANTOR - TINGGI
5,Kantor,Keterangan (K),Gambarkan atap rumah lalu ketuk dada kiri.,Sosial/Permohonan,Mari kunjungi kantor guru sekarang.,Mari (L) - kunjungi (P) - kantor guru (O),MARI - PERGI - KANTOR - GURU - SEKARANG
6,Adik,Subjek (S),Posisikan telapak tangan kanan menghadap bawah di dekat pinggul lalu turunkan sedikit.,Formal/Sekolah,Adik belajar membaca abjad SIBI.,Adik (S) - belajar membaca (P) - abjad SIBI (O),ADIK - BELAJAR - BACA - A-B-C - S-I-B-I
6,Adik,Subjek (S),Posisikan telapak tangan kanan menghadap bawah di dekat pinggul lalu turunkan sedikit.,Santai/Rumah,Adik menangis mencari mainan hilang.,Adik (S) - menangis (P) - mencari mainan hilang (O),ADIK - NANGIS - CARI - MAINAN - HILANG
6,Adik,Subjek (S),Posisikan telapak tangan kanan menghadap bawah di dekat pinggul lalu turunkan sedikit.,Sosial/Permohonan,Tolong jagakan Adik sore hari ini.,Tolong (L) - jagakan (P) - Adik (O) - sore hari (K),TOLONG - JAGA - ADIK - SORE - INI
6,Bermain,Predikat (P),Goyangkan pergelangan tangan kiri-kanan memutar bergantian dengan riang.,Formal/Sekolah,Siswa bermain petak umpet saat istirahat.,Siswa (S) - bermain (P) - petak umpet (O) - saat istirahat (K),SISWA - MAIN - PETAK - UMPET - ISTIRAHAT
6,Bermain,Predikat (P),Goyangkan pergelangan tangan kiri-kanan memutar bergantian dengan riang.,Santai/Rumah,Adik bermain robot di ruang tamu.,Adik (S) - bermain (P) - robot (O) - di ruang tamu (K),ADIK - MAIN - ROBOT - DI - RUANG - TAMU
6,Bermain,Predikat (P),Goyangkan pergelangan tangan kiri-kanan memutar bergantian dengan riang.,Sosial/Permohonan,Mari bermain bersama teman inklusi.,Mari (L) - bermain (P) - bersama teman inklusi (K),MARI - MAIN - BARENG - TEMAN - INKLUSI
6,Bola,Objek (O),Jari kedua tangan melengkung seolah memegang lingkaran bola bulat.,Formal/Sekolah,Kami menendang bola kulit ke gawang.,Kami (S) - menendang (P) - bola kulit (O) - ke gawang (K),KAMI - TENDANG - BOLA - KULIT - KE - GAWANG
6,Bola,Objek (O),Jari kedua tangan melengkung seolah memegang lingkaran bola bulat.,Santai/Rumah,Adik membeli bola karet merah.,Adik (S) - membeli (P) - bola karet (O) - merah (L),ADIK - BELI - BOLA - KARET - MERAH
6,Bola,Objek (O),Jari kedua tangan melengkung seolah memegang lingkaran bola bulat.,Sosial/Permohonan,Tolong ambilkan bola tenis itu.,Tolong (L) - ambilkan (P) - bola tenis (O) - itu (L),TOLONG - AMBIL - BOLA - TENIS - ITU
6,Lapangan,Keterangan (K),Gerakkan kedua telapak tangan datar ke luar membentuk persegi panjang datar luas.,Formal/Sekolah,Siswa berbaris di lapangan upacara.,Siswa (S) - berbaris (P) - di lapangan upacara (K),SISWA - BARIS - DI - LAPANGAN - UPACARA
6,Lapangan,Keterangan (K),Gerakkan kedua telapak tangan datar ke luar membentuk persegi panjang datar luas.,Santai/Rumah,Anak-anak berlari di lapangan rumput.,Anak-anak (S) - berlari (P) - di lapangan rumput (K),ANAK - LARI - DI - LAPANGAN - RUMPUT
6,Lapangan,Keterangan (K),Gerakkan kedua telapak tangan datar ke luar membentuk persegi panjang datar luas.,Sosial/Permohonan,Tolong bersihkan sampah di lapangan.,Tolong (L) - bersihkan (P) - sampah (O) - di lapangan (K),TOLONG - BERSIH - SAMPAH - DI - LAPANGAN
